Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,508.0,8.0,32.0,1448.0,0.1,78.00500000000002,0.0,0.0,281.20312905311584,,,,,,,,,,,,,,,,,,,,,35.043155362292154,25.86287995814713,77.0376172252399,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,565.0,9.0,57.0,1505.0,0.1,150.00600000000003,0.0,0.0,287.1165442466736,,,,,,,,,,,,,,,,,,,,,68.59338305926751,46.94917278902246,146.38880839360058,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,617.0,10.0,52.0,1557.0,0.1,129.00800000000004,0.0,0.0,292.55529618263245,,,,,,,,,,,,,,,,,,,,,56.25485096575892,41.75489485440604,126.3352919984855,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,651.0,11.0,34.0,1591.0,0.1,78.00700000000003,0.0,0.0,296.2087004184723,,,,,,,,,,,,,,,,,,,,,32.983732174899,26.410803142568614,77.03955517685195,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,692.0,12.0,41.0,1632.0,0.1,96.00800000000004,0.0,0.0,300.78722524642944,,,,,,,,,,,,,,,,,,,,,40.54831381063645,32.05197167952262,94.53449358644319,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,730.0,13.0,38.0,1670.0,0.1,96.00500000000002,0.0,0.0,304.7098035812378,,,,,,,,,,,,,,,,,,,,,43.74639941657985,31.119117578188348,94.53160550156758,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,762.0,14.0,32.0,1702.0,0.1,75.00600000000003,0.0,0.0,308.080326795578,,,,,,,,,,,,,,,,,,,,,32.54537190342421,25.268929702665027,74.11269938516136,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,795.0,15.0,33.0,1735.0,0.1,78.00600000000003,0.0,0.0,311.7180049419403,,,,,,,,,,,,,,,,,,,,,33.98222572753531,26.16684679457227,77.0385866857762,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,912.0,16.0,117.0,1852.0,0.1,330.00599999999986,0.0,0.0,323.18433141708374,,,,,,,,,,,,,,,,,,,,,153.67629483680216,95.49801801029473,312.65086257838857,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,967.0,17.0,55.0,1907.0,0.1,144.00600000000003,0.0,0.0,328.85226011276245,,,,,,,,,,,,,,,,,,,,,65.71257466180802,45.25929981763143,140.67301374808298,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
